index,eigenvalue
1,36.79475389306664
2,22.765535858859025
3,15.512373681874278
4,1.3180453580334271e-14
5,9.660157626694818e-15
6,7.836124806581115e-15
7,7.0673047571706646e-15
8,5.758691394762548e-15
9,4.4685983221489995e-15
10,4.150850817923039e-15
11,3.6590036152796826e-15
12,3.5169694852200403e-15
13,3.4781472951918577e-15
14,3.112638585156145e-15
15,2.3924691068232285e-15
16,2.3735364708611625e-15
17,1.860183497228985e-15
18,1.4837414601308423e-15
19,1.2667490515633753e-15
20,1.2132481909072408e-15
21,9.256222970911963e-16
22,4.785422015686998e-16
23,3.332160569288018e-16
24,-3.804033258982136e-17
25,-1.322011777147828e-16
26,-6.258066570331649e-16
27,-7.149927439007017e-16
28,-9.960994003016607e-16
29,-1.1870465933394029e-15
30,-1.5030588886520846e-15
31,-1.6429574830072958e-15
32,-1.9109729882488316e-15
33,-1.9349398131592584e-15
34,-2.2750263724958976e-15
35,-3.0878935218949767e-15
36,-3.160716393633066e-15
37,-4.147456281844743e-15
38,-4.22152785490028e-15
39,-5.120198646108016e-15
40,-5.299966763209097e-15
41,-5.820759395325194e-15
42,-6.589430669691607e-15
43,-6.9817989408569745e-15
44,-8.253422037371973e-15
45,-1.0012474398188156e-14
