M,n_params,train_MSE,train_RMSE,train_R2,test_MSE,test_RMSE,test_R2
1,4,0.20572473842993752,0.45356889050059146,0.660035955153081,0.20519835138712073,0.45298824641167096,0.6455507253593014
2,7,0.19150737738091367,0.4376155588880652,0.6835304148187633,0.1933213743390298,0.4396832659301805,0.6660664160125755
3,10,0.010561782267859999,0.102770532098749,0.9825464538296302,0.010646740602143689,0.10318304416009294,0.9816093576863193
4,13,0.010541530184612286,0.10267195422612879,0.9825799207825597,0.010635639162699015,0.10312923524732943,0.9816285337524623
5,16,0.006585850470000167,0.08115325298470892,0.9891167567808052,0.006039800461550782,0.07771615315718336,0.9895671535463145
6,19,0.006596438918820093,0.08121846414960143,0.9890992591676502,0.006008927588034792,0.07751727283667036,0.9896204817896939
8,25,0.006551127069015418,0.08093903303731406,0.9891741378616598,0.005961937186790997,0.07721358162131192,0.9897016506369256
10,31,0.006538697525703657,0.08086221321299372,0.9891946779184955,0.005999503159039404,0.07745645976314308,0.9896367610726352
12,37,0.0065317906137872285,0.08081949402085631,0.9892060917218641,0.006057979353422677,0.07783302225548407,0.9895357522460886
15,46,0.006524168520867518,0.08077232521642247,0.9892186873754494,0.0060938985810347545,0.07806342665445039,0.9894737071853623
